"id","inlf","hours","kidslt6","kidsge6","age","educ","wage","repwage","hushrs","husage","huseduc","huswage","faminc","mtr","motheduc","fatheduc","unem","city","exper","nwifeinc","lwage","expersq"
"53",1,340,0,8,37,12,1.1764999628,0,2152,40,10,6.2732000351,16658,0.7515000105,12,7,5,0,15,16.2579898834,0.1625438929,225
"54",1,500,0,0,52,8,1.6000000238,0,1496,54,11,5.8824000359,10300,0.7515000105,7,7,5,1,17,9.5,0.4700036347,289
"55",1,1599,0,0,52,10,1.8761999607,2.7999999523,2100,47,4,3.809499979,11000,0.7515000105,7,3,7.5,0,34,7.999956131,0.6292484403,1156
"56",1,1830,0,0,31,16,4.0437002182,4.1999998093,1960,35,14,6.377600193,19900,0.6915000081,12,12,7.5,1,9,12.5000286102,1.3971601725,81
"57",1,1920,0,0,55,14,9.6353998184,8.75,1985,55,15,6.0453000069,32500,0.6399999857,7,7,14,1,37,14.0000324249,2.2654438019,1369
"58",1,2052,0,0,34,17,8.0409002304,8.25,2020,33,17,8.8119001389,37300,0.5799999833,17,17,7.5,1,10,20.8000736237,2.0845410824,100
"59",1,2312,0,0,55,14,4.5989999771,5.5799999237,2178,56,16,8.8765001297,30018,0.5814999938,17,7,11,1,35,19.3851127625,1.5258388519,1225
"60",1,196,0,2,39,12,2.1428999901,2.5,3684,39,12,3.3420000076,12807,0.7515000105,12,7,14,1,6,12.3869915009,0.7621600628,36
"61",1,2500,0,3,40,14,4.4000000954,5.5,5010,42,13,3.1835999489,39500,0.5515000224,14,3,7.5,0,19,28.5,1.4816045761,361
"62",1,1980,0,4,43,12,3.5353999138,3.75,1880,47,12,6.914899826,22050,0.6915000081,12,12,9.5,1,10,15.049908638,1.2628264427,100
"63",1,1840,0,0,48,8,2.717400074,4.8000001907,1904,56,8,5.5146999359,15500,0.7214999795,7,7,14,1,11,10.4999837875,0.9996755719,121
"64",1,320,0,0,47,12,6.25,6.25,2083,47,12,5.2807998657,13810,0.7214999795,7,7,9.5,1,15,11.8100004196,1.8325815201,225
"65",1,419,0,4,41,12,11.9329996109,6.3000001907,2125,44,12,3.2000000477,11950,0.7515000105,7,7,5,1,12,6.9500732422,2.4793076515,144
"66",1,1880,0,0,36,8,3.593100071,3.75,1985,37,12,5.8790998459,19175,0.6915000081,12,12,7.5,0,12,12.4199714661,1.2790153027,144
"67",1,72,0,2,46,17,6.9443998337,0,2640,48,17,6.25,17900,0.6915000081,12,16,7.5,0,14,17.4000034332,1.9379355907,196
"68",1,120,0,0,34,12,2.9166998863,0,2070,51,8,7.4878997803,15850,0.7214999795,12,7,5,1,11,15.4999961853,1.0704528093,121
"69",1,1885,0,3,41,12,3.0769000053,2.9000000954,2107,48,8,6.9766998291,27017,0.6915000081,7,7,5,1,9,21.217042923,1.1239225864,81
"70",1,240,0,1,51,12,3.75,0,2250,54,10,8,18900,0.6915000081,12,7,5,0,24,18,1.3217558861,576
"71",1,1729,0,0,33,12,5.7259001732,4.7600002289,2880,34,16,4.1318998337,21800,0.6915000081,12,12,7.5,1,12,11.8999185562,1.7449997663,144
"72",1,1850,0,0,52,12,3.6756999493,3.4000000954,1848,53,12,14.4759998322,33552,0.5515000224,10,10,7.5,1,13,26.7519550323,1.3017436266,169
"73",1,2033,0,0,58,9,5.1648001671,4.3200001717,1927,53,7,5.7343001366,22650,0.6614999771,7,9,7.5,1,29,12.1499614716,1.6418664455,841
"74",1,608,2,4,34,10,8.2236995697,3,1304,38,9,3.3742001057,15200,0.7914999723,0,0,7.5,1,11,10.1999902725,2.1070201397,121
"75",1,1153,0,1,31,12,4.3365001678,4.5199999809,3000,35,12,1.8332999945,13120,0.7214999795,7,10,7.5,1,13,8.1200151443,1.4670675993,169
"76",1,2208,0,1,48,12,4.9819002151,5.3099999428,1892,52,12,5.6024999619,21660,0.6614999771,12,14,5,1,19,10.6599645615,1.6058113575,361
"77",1,252,0,2,32,12,0.3571000099,0,3644,32,12,4.2975001335,18190,0.7214999795,7,7,3,0,2,18.1000099182,-1.0297393799,4
"78",1,337,0,0,49,17,2.967400074,0,1430,47,17,3.9161000252,9600,0.7515000105,3,3,14,1,24,8.5999860764,1.0876861811,576
"79",1,90,2,2,32,15,1,0,2350,31,14,4.8786997795,13755,0.7515000105,10,12,7.5,1,9,13.6649999619,0,81
"80",1,1174,0,0,58,12,2.5553998947,4.8699998856,1948,59,16,9.2402000427,35350,0.6614999771,7,12,7.5,1,6,32.3499603271,0.9382086992,36
"81",1,372,0,0,50,6,0.8601999879,2.25,1804,42,12,6.6518998146,12405,0.7214999795,12,7,7.5,1,22,12.0850057602,-0.1505903751,484
"82",1,30,0,0,60,14,1,0,2326,51,12,4.62169981,12180,0.7515000105,12,17,9.5,0,30,12.1499996185,0,900
"83",1,1800,0,1,50,12,2.9261000156,0,1739,55,11,9.9741001129,22962,0.6614999771,7,3,7.5,1,10,17.6950206757,1.0736705065,100
"84",1,282,0,0,56,14,3.5460999012,2.5,1176,57,17,20.9179992676,25700,0.6215000153,7,7,9.5,1,6,24.7000007629,1.2658483982,36
"85",1,720,0,0,51,9,1.6263999939,2.2000000477,1100,55,8,1.9400000572,3305,0.7914999723,7,7,3,0,29,2.1339919567,0.486368984,841
"86",1,1440,0,1,54,17,8.3332996368,6,1528,58,17,8.835100174,32950,0.5814999938,7,12,5,1,29,20.9500484467,2.1202595234,841
"87",1,2100,0,0,59,13,3.0952000618,2.9500000477,2250,52,15,4.6666998863,17000,0.6915000081,7,7,5,1,36,10.5000801086,1.1298525333,1296
"88",1,1000,0,2,46,9,2.7000000477,2.3499999046,1927,47,10,5.1894001961,13250,0.7515000105,7,7,5,1,19,10.5500001907,0.9932518005,361
"89",1,952,0,1,46,15,5.2520999908,0,2414,47,16,18.7240009308,50750,0.4415000081,7,12,5,1,8,45.75,1.6586279869,64
"90",1,1413,1,3,39,12,1.4154000282,2.2000000477,768,49,8,10.4169998169,15632,0.7714999914,10,10,14,0,13,13.6320400238,0.3474121988,169
"91",1,2100,0,2,44,12,4.7986001968,4.8499999046,1984,43,14,8.8458003998,28316,0.6215000153,7,0,11,1,16,18.2389392853,1.5683242083,256
"92",1,120,2,0,33,12,1.6667000055,2.3699998856,2246,36,12,7.5689997673,17290,0.7214999795,12,12,9.5,1,11,17.0899963379,0.5108456016,121
"93",1,3000,1,2,33,12,1.1217000484,0,3024,30,17,4.4506998062,33600,0.6215000153,10,10,7.5,1,15,30.2348995209,0.1148454323,225
"94",1,1000,0,2,48,12,0.5,0,2921,52,12,9.320400238,29200,0.6215000153,12,7,9,1,6,28.7000007629,-0.6931471825,36
"95",1,336,0,4,31,12,0.7142999768,0,2045,37,17,9.1687002182,19870,0.6915000081,7,7,11,0,13,19.6299953461,-0.3364522755,169
"96",1,1216,0,1,45,12,2.7960999012,2.9000000954,1928,44,12,6.483399868,16225,0.7214999795,7,7,11,0,22,12.8249425888,1.0282255411,484
"97",1,988,0,1,45,12,4.858300209,4.5,1920,44,10,7.8125,28600,0.6915000081,7,3,5,1,24,23.7999992371,1.5806885958,576
"98",1,2581,0,2,32,13,1.7434999943,2.5999999046,2280,37,17,11.4040002823,30800,0.5814999938,14,12,7.5,1,2,26.3000259399,0.5558946133,4
"99",1,2030,0,0,47,12,2.4630999565,2.7999999523,2300,47,17,5.0869998932,25700,0.6915000081,7,7,3,0,6,20.6999073029,0.9014207125,36
"100",1,413,0,2,34,13,2.4212999344,3,2480,35,13,6.9758000374,27000,0.6215000153,12,12,3,0,2,26.0000038147,0.8843045831,4
"101",1,782,0,1,37,12,1.5345000029,2.2999999523,1135,34,10,5.2863001823,12077,0.7714999914,12,7,9.5,1,2,10.8770208359,0.428204596,4
"102",1,1388,0,1,36,12,2.8817999363,1.8700000048,1384,39,12,11.5620002747,29612,0.6614999771,7,7,11,0,14,25.6120624542,1.0584150553,196
"103",1,1450,1,2,47,12,2.406899929,3,1848,50,14,8.6061000824,24479,0.6915000081,7,10,9.5,1,9,20.9889945984,0.8783395886,81
"104",1,1720,0,1,48,16,5.2326002121,4.6799998283,2499,46,17,12.8050003052,79750,0.4415000081,14,14,7.5,1,11,70.7499313354,1.6549082994,121
"105",1,800,0,2,42,12,3.75,2.5,2390,43,12,6.6946001053,20050,0.6915000081,12,7,11,0,9,17.0499992371,1.3217558861,81
"106",1,360,0,3,33,13,1.3889000416,0,2400,44,14,8.3332996368,21500,0.6915000081,10,12,11,1,6,20.9999961853,0.3285121024,36
"107",1,2000,0,0,46,11,4,4.6100001335,1920,53,8,4.1666998863,16120,0.6915000081,7,7,5,0,19,8.1199998856,1.3862943649,361
"108",1,1176,0,3,47,12,3.2313001156,3.3499999046,2301,48,13,5.4759001732,24686,0.7214999795,7,7,9.5,0,26,20.8859901428,1.1728845835,676
"109",1,2058,0,1,44,12,3.4014000893,3.7999999523,1944,43,10,5.1440000534,24669,0.6915000081,7,10,9.5,1,19,17.6689186096,1.2241871357,361
"110",1,900,0,4,36,12,1.3332999945,2.2000000477,2100,37,17,11.6669998169,26400,0.6614999771,7,7,7.5,1,3,25.2000293732,0.2876570821,9
"111",1,215,2,0,31,17,9.3023004532,9.9799995422,1920,32,16,7.2916998863,16245,0.7214999795,12,12,7.5,1,7,14.2450056076,2.2302618027,49
"112",1,2000,0,0,55,14,4.5,4.3699998856,2880,55,14,4.8611001968,23300,0.6614999771,7,7,9.5,1,28,14.3000001907,1.5040774345,784
"113",1,757,0,1,45,16,4.6234998703,4.5,1932,48,16,12.1639995575,27200,0.6215000153,12,7,9.5,1,13,23.7000102997,1.53115201,169
"114",1,1264,0,0,47,17,3.9556999207,0,3234,48,17,10.8229999542,51000,0.461499989,10,17,9.5,1,9,45.9999961853,1.3751575947,81
"115",1,2064,0,3,46,12,5.8140001297,6,2805,47,12,12.4779996872,55000,0.461499989,10,7,14,1,15,42.9999046326,1.7602688074,225
"116",1,1280,0,0,49,11,0.5,0,2272,52,9,6.1620001793,15389,0.7214999795,7,7,7.5,1,20,14.7489995956,-0.6931471825,400
"117",1,1715,0,0,49,12,4.0816001892,3.75,2227,52,14,7.1845998764,23150,0.6614999771,7,7,9.5,1,29,16.1500549316,1.4064891338,841
"118",1,2000,0,2,45,12,6,4.9499998093,1720,49,6,7.0929999352,29774,0.6215000153,7,10,14,1,9,17.7740001678,1.791759491,81
"119",1,12,1,3,38,17,3.6666998863,0,2300,38,13,17.8260002136,91044,0.4415000081,12,10,14,1,1,91,1.2992920876,1
"120",1,1528,0,0,47,10,3.8612999916,2.9500000477,3410,50,12,6.3930001259,28200,0.5814999938,7,12,14,1,8,22.2999343872,1.3510038853,64
"121",1,561,0,3,54,13,2.7629001141,2.5299999714,2304,57,16,11.7189998627,36150,0.5515000224,7,7,9.5,1,19,34.6000137329,1.0162808895,361
"122",1,2058,0,0,41,11,2.9309999943,2.9000000954,1984,42,12,4.7883000374,15652,0.7214999795,12,12,7.5,0,23,9.6200017929,1.0753436089,529
"123",1,1823,0,2,43,12,4.3884000778,4.1999998093,1890,33,14,4.2328000069,18900,0.7515000105,14,7,11,0,3,10.8999462128,1.4789646864,9
"124",1,1680,1,1,31,16,5.4166998863,4.6999998093,1970,32,12,7.1065998077,23600,0.6614999771,12,10,7.5,0,13,14.4999437332,1.689486742,169
"125",1,1440,0,0,47,17,9.8611001968,7.0999999046,2400,46,12,8.3332996368,36200,0.6100000143,7,7,7.5,1,8,22.0000152588,2.2885978222,64
"126",1,4950,0,2,35,12,0.1615999937,2.75,2504,37,12,6.9888000488,18700,0.6915000081,10,10,7.5,0,17,17.9000797272,-1.8226311207,289
"127",1,1176,0,3,45,16,0.3826000094,3.75,2398,48,17,9.5913000107,24125,0.6614999771,7,7,11,1,4,23.6750621796,-0.960765183,16
"128",1,1100,1,0,33,12,3.6363999844,3.5799999237,1960,39,12,6.0204000473,15800,0.7214999795,7,7,7.5,0,15,11.7999601364,1.2909941673,225
"129",1,1516,0,1,54,16,2.3747000694,2.4000000954,2550,55,12,2.9686000347,19742,0.7214999795,12,7,3,0,11,16.141954422,0.8648711443,121
"130",1,900,0,4,35,8,4.6666998863,3.9500000477,2500,41,12,7,22600,0.6915000081,10,7,9.5,0,7,18.3999710083,1.5404521227,49
"131",1,1080,1,2,31,12,1.8518999815,2.25,2164,37,10,7.1627001762,17500,0.7214999795,7,7,7.5,0,0,15.4999475479,0.6162121296,0
"132",1,480,0,0,55,12,5.1999998093,0,2640,60,12,4.7364001274,19820,0.6915000081,7,7,7.5,0,0,17.3239994049,1.6486586332,0
"133",1,288,0,2,34,12,3.2985999584,4.6199998856,1936,36,12,8.7810001373,20155,0.6915000081,12,16,11,1,10,19.2050037384,1.1934981346,100
"134",1,1875,0,1,38,13,8.5333003998,8.5,2136,41,12,9.8315000534,37300,0.5799999833,10,12,7.5,1,8,21.3000621796,2.1439762115,64
"135",1,630,0,1,45,11,2.0634999275,0,1955,51,10,6.649600029,24860,0.7214999795,7,7,7.5,1,2,23.5599956512,0.7244035602,4
"136",1,234,0,1,47,12,2.5641000271,2.5,1980,48,10,9.8485002518,21450,0.6614999771,12,3,7.5,1,4,20.8500003815,0.9416075349,16
"137",1,1600,0,2,39,12,2.1875,0,2550,42,11,9.803899765,29650,0.6215000153,7,7,5,1,6,26.1499996185,0.7827593684,36
"138",1,960,1,0,36,14,6.25,0,2058,37,13,8.2603998184,23000,0.6614999771,7,7,11,1,18,17,1.8325815201,324
"139",1,120,1,2,33,12,3.3333001137,0,2263,32,14,9.0676002502,21120,0.6915000081,7,7,9,1,3,20.7200031281,1.2039628029,9
"140",1,2025,0,0,50,12,4.4443998337,4.8000001907,1763,54,13,8.5081996918,26000,0.6215000153,7,12,5,1,22,17.0000896454,1.4916448593,484
"141",1,1809,0,0,58,12,6.6335000992,6.4499998093,2096,59,14,7.1564998627,28000,0.6215000153,3,7,7.5,1,33,15.9999980927,1.8921326399,1089
"142",1,3087,0,0,49,17,8.4224004745,9.9799995422,2059,47,13,7.0423002243,45500,0.5199999809,12,12,11,1,28,19.5000495911,2.1308948994,784
"143",1,910,0,2,41,14,4.3955998421,0,1820,40,17,6.5934000015,16000,0.7214999795,16,12,14,1,23,12.0000038147,1.4806040525,529
"144",1,1840,0,1,51,12,2.4456999302,2.5,2832,53,8,4.3456997871,18232,0.6915000081,7,14,11,0,27,13.7319116592,0.894331336,729
"145",1,784,0,0,53,9,1.2244999409,2.25,1990,60,10,7.2361998558,28160,0.7214999795,3,7,14,1,11,27.1999912262,0.2025325447,121
"146",1,400,1,2,36,12,1.625,0,2000,40,7,1.7400000095,5965,0.8015000224,12,7,11,1,6,5.3150000572,0.4855078161,36
"147",1,1000,0,2,46,12,3,5.5,1885,46,12,6.8965997696,19000,0.7214999795,7,7,9.5,1,11,16,1.0986123085,121
"148",1,1904,0,2,36,12,4.7269001007,4.1999998093,2860,37,12,5.0454998016,36872,0.5515000224,12,12,11,1,14,27.8719825745,1.5532696247,196
"149",1,1771,0,1,53,14,1.1292999983,9.9799995422,1913,48,16,17.25,42000,0.4914999902,12,12,14,1,17,40.0000114441,0.121597968,289
"150",1,1486,0,3,40,16,7.4024000168,6.25,1800,54,16,8.3332996368,26900,0.6215000153,16,14,11,1,17,15.9000339508,2.0018043518,289
"151",1,740,0,2,42,17,4.459499836,1.6499999762,2880,45,16,9.375,30800,0.5814999938,12,10,9,0,14,27.4999694824,1.495036602,196
"152",1,1820,1,1,33,15,2.4725000858,0,1993,32,16,8.2790002823,21520,0.6915000081,12,12,11,1,11,17.0200500488,0.9052298069,121
"153",1,1275,0,3,43,12,1.8824000359,3,2250,47,14,4.5,24795,0.6915000081,7,7,7.5,1,7,22.3949394226,0.6325475574,49
"154",1,450,1,0,31,16,4,4,2286,30,16,4.1995000839,12900,0.7214999795,14,16,14,1,8,11.1000003815,1.3862943649,64
"155",1,1221,0,0,47,17,8.1899995804,5.9899997711,1880,47,16,16.063999176,42700,0.4914999902,7,7,7.5,1,6,32.700012207,2.1029138565,36
"156",1,1550,0,0,54,17,7.0967998505,6,2350,58,17,11.2770004272,38800,0.5214999914,10,17,11,1,8,27.7999610901,1.95964396,64
"157",1,180,1,3,33,12,1.6667000055,0,3640,33,11,0.549399972,2500,0.9415000081,7,3,3,0,4,2.1999940872,0.5108456016,16
"158",1,2090,0,0,43,16,3.4449999332,3.8499999046,1770,47,14,9.5480003357,26921,0.6215000153,14,10,11,1,25,19.7209510803,1.236923933,625
"159",1,1960,0,1,46,13,4.2347002029,4.1999998093,1875,49,13,5.3333001137,18300,0.6915000081,7,9,3,0,24,9.9999876022,1.4433125257,576
"160",1,1440,0,3,35,12,2.7778000832,4.0999999046,2200,38,9,5.4545001984,17200,0.7214999795,7,7,14,1,11,13.199968338,1.021659255,121
"161",1,794,0,3,37,11,1.8891999722,3.8499999046,2033,39,12,5.9025998116,14209,0.7515000105,12,3,9.5,1,19,12.7089748383,0.6361534595,361
"162",1,993,0,2,37,16,5.035200119,8.3000001907,2739,39,17,9.8576002121,32300,0.5814999938,12,16,14,1,9,27.3000469208,1.61645329,81
"163",1,160,0,3,34,14,1.25,0,1626,38,14,11.6850004196,21400,0.7214999795,17,12,7.5,1,19,21.2000007629,0.2231435478,361
"164",1,105,1,0,43,16,2.8571000099,0,2248,44,17,6.2277998924,14700,0.7214999795,7,7,9.5,0,14,14.4000043869,1.0498070717,196
"165",1,1200,0,0,46,12,4.1167001724,4.3299999237,2140,48,12,9.1747999191,25516,0.6215000153,7,7,9.5,1,22,20.5759601593,1.4150519371,484
"166",1,450,0,3,35,9,1.777799964,2.5999999046,1985,42,12,6.2972002029,13300,0.7515000105,3,7,5,1,6,12.4999904633,0.5753766298,36
"167",1,996,0,0,46,17,13.5539999008,9.9799995422,1528,59,17,10.4709997177,31000,0.5814999938,12,12,9.5,1,23,17.5002155304,2.6066815853,529
"168",1,1052,0,0,46,14,4.5626997948,4.9000000954,1920,48,16,14.5830001831,48800,0.4914999902,7,3,11,1,15,44.000038147,1.5179145336,225
"169",1,1128,0,2,43,12,2.1277000904,2.4000000954,1918,46,10,6.2143001556,15519,0.7214999795,7,7,14,1,6,13.1189546585,0.7550415993,36
"170",1,1840,0,0,30,12,2.9890999794,3.75,2112,30,12,6.6287999153,19500,0.6915000081,7,7,7.5,0,11,14.0000562668,1.0949723721,121
"171",1,1910,0,2,41,11,2.5653998852,2.5699999332,2144,46,9,3.8245999813,14545,0.7214999795,3,7,5,0,2,9.6450862885,0.9421143532,4
"172",1,980,0,1,54,12,5.6121997833,5,1920,54,15,7.8125,22897,0.6915000081,7,7,14,1,22,17.3970451355,1.7249428034,484
"173",1,2317,0,1,31,12,2.8053998947,3.8699998856,2241,41,9,3.4806001186,14300,0.7214999795,10,10,7.5,1,10,7.7998886108,1.0315461159,100
"174",1,1089,0,0,44,10,1.6069999933,0,880,47,11,5.5500001907,14884,0.7515000105,10,10,9.5,1,14,13.1339769363,0.4743690789,196
"175",1,800,0,1,32,12,2.25,0,2070,31,16,11.5939998627,27400,0.6215000153,12,7,11,1,12,25.6000003815,0.8109301925,144
"176",1,1230,0,0,47,5,2.0325000286,2.8199999332,1050,53,5,9.5237998962,16400,0.7214999795,7,12,14,1,9,13.9000253677,0.709266603,81
"177",1,1158,0,1,46,17,5.5320000648,8.1000003815,2635,57,17,7.2804999352,25704,0.6215000153,14,17,7.5,0,13,19.2979431152,1.7105494738,169
"178",1,2272,0,0,37,11,1.5844999552,3.7100000381,3000,47,8,3,12800,0.7214999795,10,10,7.5,0,18,9.2000160217,0.4602688849,324
